"","Entry","time","status","Total"
"1",0.312313642760273,0.938886357239727,0,5.25
"2",0.524326723767444,0.726873276232556,0,2.69662892887754
"3",1.0484155130689,0.202784486931097,0,5.25
"4",0.598438440822065,0.652761559177935,0,1.73459212349305
"6",0.103120125015266,1.14807987498473,0,5.25
"7",0.994950166961644,0.256249833038356,0,5.25
"9",0.274273334944155,0.976926665055845,0,5.25
"11",0.464695626636967,0.402972595352842,1,0.867668221989809
"12",0.286946213047486,0.964253786952514,0,5.25
"15",0.842541245743632,0.408658754256368,0,5.25
"17",0.213391487079207,1.03780851292079,0,5.25
"18",0.863931685045827,0.387268314954173,0,5.25
"19",0.617363200290129,0.633836799709872,0,5.25
"21",1.00916176813189,0.242038231868111,0,2.07811266802064
"25",0.989621297107078,0.261578702892922,0,4.84384816998867
"29",0.00140573998214677,1.24979426001785,0,5.25
"30",1.06946229172172,0.18173770827828,0,5.25
"31",0.495267491613049,0.344075227973867,1,0.839342719586916
"32",0.854587209876627,0.396612790123373,0,1.79347310438449
"34",0.791545295796823,0.459654704203177,0,2.88124901636551
"35",0.250054704782087,1.00114529521791,0,5.25
"36",0.54814381361939,0.70305618638061,0,5.25
"38",0.939705254277214,0.311494745722786,0,5.25
"40",0.231445449579041,1.01975455042096,0,5.25
"41",0.978508668369614,0.272691331630387,0,5.25
"45",0.393868463113904,0.857331536886096,0,5.25
